coral_id,row,column,camera,length_pg,width_pg,height_pg,volume_pg,surface_area,max_hull_volume,min_hull_volume,max_hull_surface_area,interstitial_volume,scalebar_error_x,scalebar_error_y,scalebar_error_z,total_photos,photos_not_aligned,notes
FE-POC57,1,1,Canon PowerShot G16,0.428525,0.305889,0.216225,0.009572,0.932397,,,,,0.000533,-0.000213,-0.000328,241,0,
FE-POC04,1,2,Canon PowerShot G16,0.281155,0.183891,0.170744,0.002126,0.290717,0.005144083,,0.154702235,,-0.000429,0.000077,0.000346,231,0,
FE-POC01,1,6,Canon PowerShot G16,0.449479,0.378925,0.351721,0.007682,1.015,,,,,-0.000456,0.000466,-0.000018,268,0,
FE-POC09,1,7,Canon PowerShot G16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,poor quality do not use
FE-POC30,1,9,Canon PowerShot G16,0.155258,0.151075,0.102853,0.001097,0.146585,,,,,-0.000427,-0.000258,0.000672,173,0,
FE-POC13,1,12,Canon PowerShot G16,0.218417,0.221208,0.109913,0.001767,0.208529,,,,,-0.000001,-0.000229,0.000228,175,0,
FE-POC18,1,13,Canon PowerShot G16,0.149647,0.130591,0.077612,0.000594,0.100337,,,,,-0.000024,-0.000295,0.000316,176,0,
FE-POC46,1,15,TG-4,0.282787,0.202868,0.137574,0.002197,0.298315,,,,,0,0,NA,188,0,"only 2 scale bars used, rubiks cube not aligned"
FE-POC22,2,2,Canon PowerShot G16,0.173227,0.153559,0.099847,0.000806,0.125231,,,,,-0.000523,0.000065,0.000449,210,0,
FE-POC20,2,3,Canon PowerShot G16,0.445062,0.402636,0.229299,0.012741,1.1,,,,,0.000176,-0.000641,0.000455,225,0,
FE-POC35,2,5,Canon PowerShot G16,0.157148,0.115253,0.084356,0.000456,0.103794,,,,,-0.000607,0.000004,0.000591,222,0,
FE-POC16,2,8,TG-4,0.227482,0.211469,0.128124,0.00153,0.26945,,,,,-0.000128,0.000127,NA,129,0,"only 2 scale bars used, rubiks cube not aligned"
FE-POC07,2,9,Canon PowerShot G16,0.496683,0.354998,0.284855,0.010574,1.104,,,,,-0.000022,0.000022,NA,222,0,only 2 scale bars used
FE-POC11,2,12,TG-4,0.197061,0.139938,0.13356,0.000807,0.141794,,,,,0.000359,-0.000698,0.000327,156,0,
FE-POC33,2,14,Canon PowerShot G16,0.271984,0.258647,0.196264,0.004478,0.410387,,,,,0.000463,-0.000239,-0.00023,160,0,
FE-POC27,3,1,Canon PowerShot G16,0.100092,0.098461,0.062111,0.000167,0.036133,,,,,0.000234,-0.000236,NA,177,0,only 2 scale bars used
FE-POC45,3,4,Canon PowerShot G16,0.318729,0.251348,0.16302,0.005538,0.440707,,,,,-0.000387,0.000183,0.000199,229,0,
FE-POC41,3,7,Canon PowerShot G16,0.359453,0.344884,0.2892,0.009205,0.789099,,,,,-0.000014,-0.000029,0.000043,237,0,
FE-POC10,3,9,Canon PowerShot G16,0.099798,0.060583,0.06625,0.000147,0.034768,,,,,0.000391,-0.000313,-0.000083,157,0,
FE-POC47,3,11,Canon PowerShot G16,0.373343,0.325172,0.19589,0.007961,0.69854,,,,,0.000249,-0.000432,0.000178,206,0,
FE-POC25,3,13,TG-4,0.101057,0.070571,0.063856,0.000169,0.043532,,,,,0.000201,-0.000706,0.000492,112,0,
FE-POC12,3,14,Canon PowerShot G16,0.269913,0.20113,0.190655,0.001558,0.264927,,,,,-0.000169,0.000168,NA,159,0,only 2 scale bars used
FE-POC53,4,1,Canon PowerShot G16,0.234839,0.199866,0.126835,0.00162,0.226196,,,,,-0.000539,0.00016,0.000371,198,0,
FE-POC49,4,3,Canon PowerShot G16,0.057876,0.040122,0.025015,0.000029,0.007278,,,,,-0.000125,-0.000016,0.00014,179,0,
FE-POC38,4,5,Canon PowerShot G16,0.323949,0.269527,0.212315,0.005333,0.52847,,,,,-0.000384,0.000379,NA,230,0,only 2 scale bars used
FE-POC32,4,6,TG-4,0.334279,0.292483,0.234803,0.002967,0.607814,,,,,0.000102,0.000134,-0.000238,245,5,not able to complete texture step in workflow
FE-POC14,4,7,Canon PowerShot G16,0.28406,0.197516,0.184777,0.002556,0.386026,,,,,0.000003,-0.00008,0.000077,218,0,
FE-POC24,4,10,TG-4,0.408512,0.348416,0.214384,0.013833,0.874405,,,,,0.000007,-0.000007,NA,151,2,"only 2 scale bars used, rubiks cube not aligned"
FE-POC50,4,14,Canon PowerShot G16,0.30609,0.229391,0.181179,0.004125,0.488178,,,,,0.000409,-0.000444,0.000028,177,2,
FE-POC29,1,3,Canon PowerShot G16,0.370753,0.249644,0.263408,0.009147,0.754218,,,,,0.000723,-0.000596,-0.000143,244,0,
FE-POC48,1,10,TG-4,0.319131,0.230153,0.190716,0.002792,0.42749,,,,,-0.000028,0.000028,NA,157,4,only 2 scale bars used
FE-POC42,2,7,TG-4,0.257827,0.218017,0.199751,0.003164,0.444992,,,,,0.000074,0.000028,-0.000102,191,0,
FE-POC59,2,10,TG-4,0.449728,0.373657,0.300534,0.015819,0.991662,,,,,0.000524,0.000124,-0.000661,152,3,
FE-POC40,2,13,Canon PowerShot G16,0.117158,0.084208,0.072996,0.000283,0.063113,,,,,0.00002,-0.000273,0.000251,142,1,
FE-POC02,3,3,Canon PowerShot G16,0.067595,0.05723,0.079157,0.000144,0.025146,,,,,0,-0.000434,0.000428,204,0,
FE-POC31,3,12,Canon PowerShot G16,0.360921,0.258279,0.224281,0.004638,0.591531,,,,,0.000323,0.000087,-0.000415,173,0,
FE-POC34,4,2,Canon PowerShot G16,0.374715,0.351398,0.216915,0.004886,0.678791,,,,,-0.000249,0.000247,NA,196,0,"only 2 scale bars used, rubiks cube not aligned"
FE-POC26,4,8,TG-4,0.076756,0.059619,0.042766,0.000068,0.018959,,,,,-0.000059,0.000009,0.00005,71,0,
FE-POC60,4,9,Canon PowerShot G16,0.356443,0.29209,0.19732,0.003408,0.510688,,,,,-0.00015,0.00001,0.000139,207,0,
FE-POC03,4,11,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,poor quality do not use
