coral_id,use,row,column,camera,length_pg,width_pg,height_pg,volume_pg,surface_area,max_hull_volume,max_hull_surface_area,scalebar_error_x,scalebar_error_y,scalebar_error_z,total_photos,photos_not_aligned,notes
FE-POC25,y,3,13,TG-4,0.101057,0.070571,0.063856,0.000155,0.040681,0.000332,0.024851,0.000201,-0.000706,0.000492,112,0,
FE-POC12,y,3,14,Canon PowerShot G16,0.269913,0.20113,0.190655,0.001493,0.259837,0.00479,0.153507,-0.000169,0.000168,NA,159,0,only 2 scale bars used
FE-POC44,y,3,15,TG-4,0.076789,0.055217,0.048618,0.000049,0.01717,0.000149,0.01521,0.000343,-0.000347,NA,130,0,"only 2 scale bars used, rubiks cube not aligned, 23 photos removed that were taken with diff settings"
FE-POC53,y,4,1,Canon PowerShot G16,0.234839,0.199866,0.126835,0.00162,0.226196,0.003862,0.126823,-0.000539,0.00016,0.000371,198,0,
FE-POC34,y,4,2,Canon PowerShot G16,0.374715,0.351398,0.216915,0.004886,0.678791,0.015159,0.322309,-0.000249,0.000247,NA,196,0,"only 2 scale bars used, rubiks cube not aligned"
FE-POC49,y,4,3,Canon PowerShot G16,0.057876,0.040122,0.025015,0.000026,0.006728,0.000054,0.007918,-0.000125,-0.000016,0.00014,179,0,
FE-POC06,y,4,4,Canon PowerShot G16,0.368057,0.247779,0.149944,0.006248,0.461179,0.009889,0.240599,-0.000264,0.000335,-0.000074,203,1,
FE-POC38,y,4,5,Canon PowerShot G16,0.323949,0.269527,0.212315,0.005072,0.514756,0.009421,0.228303,-0.000384,0.000379,NA,230,0,only 2 scale bars used
FE-POC32,n,4,6,TG-4,0.334279,0.292483,0.234803,0.002967,0.607814,NA,NA,0.000102,0.000134,-0.000238,245,5,not able to complete texture step in workflow
FE-POC14,y,4,7,Canon PowerShot G16,0.28406,0.197516,0.184777,0.002556,0.386026,0.007047,0.186452,0.000003,-0.00008,0.000077,218,0,
FE-POC26,y,4,8,TG-4,0.076756,0.059619,0.042766,0.000068,0.018959,0.000147,0.014408,-0.000059,0.000009,0.00005,171,0,Check photo number
FE-POC60,y,4,9,Canon PowerShot G16,0.356443,0.29209,0.19732,0.003408,0.510688,0.010378,0.252083,-0.00015,0.00001,0.000139,207,0,
FE-POC24,n,4,10,TG-4,0.408512,0.348416,0.214384,0.013833,0.874405,0.021364,0.404387,0.000007,-0.000007,NA,151,2,"only 2 scale bars used, rubiks cube not aligned"
FE-POC03,n,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,poor quality do not use
FE-POC39,y,4,12,Canon PowerShot G16,0.240571,0.222015,0.141251,0.002795,0.282519,0.00454,0.140319,-0.000242,0.000274,-0.000035,175,0,
FE-POC36,y,4,13,TG-4,0.140078,0.110144,0.059133,0.000354,0.069896,0.000687,0.000687,-0.000138,0.000137,NA,116,0,"only 2 scale bars used, rubiks cube not aligned"
FE-POC50,y,4,14,Canon PowerShot G16,0.30609,0.229391,0.181179,0.004125,0.488178,0.009322,0.230808,0.000409,-0.000444,0.000028,177,2,
FE-POC19,y,4,15,TG-4,0.317256,0.287058,0.18749,0.008127,0.61876,0.012699,0.27748,-0.000412,0.000189,0.000218,152,1,
