coral_id,row,column,branch_width,cafi,size_class,length,width,height,circumference,volume_est,notes,length_dec,width_dec,height_dec,circumference_dec,volume_est_dec,percent_alive_dec,notes_dec,vol_difference,intact
FE-POC57,1,1,wide,CAFI,38,44,30,31,112,21425.6619,,38,28,26,112,14484.84,80,"tipped, ~15% in sand",-6940.825369,n
FE-POC04,1,2,wide,CAFI,29,28,20,20,73,5864.306287,,29,20,18,74,5466.37,100,,-397.9350695,y
FE-POC29,1,3,tight,empty,41,38,29,25,101,14425.14627,,35,33,28,105,16933.18,90,"tipped, ~10% in sand",2508.038135,n
FE-POC43,1,4,wide,CAFI,14,15,15,15,48,1767.145868,glued on side,15,15,12,44,1413.72,100,,-353.4291735,y
FE-POC23,1,5,wide,CAFI,20,17,15,13,51,1735.729941,,18,15,13,49,1837.83,100,,102.1017612,y
FE-POC01,1,6,wide,empty,44,44,43,42,135,41607.2531,,48,46,40,141,46244.24,70,tipped,4636.990757,n
FE-POC09,1,7,tight,empty,26,28,22,17,77,5483.126378,,26,22,15,79,4492.48,100,,-990.6488834,y
FE-POC37,1,8,wide,CAFI,44,45,35,30,108,24740.04215,,33,49,24,107,20319.82,100,,-4420.220864,y
FE-POC30,1,9,wide,empty,20,20,18,12,57,2261.946711,,19,19,12,57,2268.23,100,,6.283185307,y
FE-POC48,1,10,wide,empty,32,33,24,19,81,7879.114375,,32,26,18,90,7841.42,90,,-37.69911184,y
FE-POC28,1,11,tight,CAFI,5,7,5,5,17,91.62978573,,NA,NA,NA,NA,91.62978573,0,dead,NA,n
FE-POC13,1,12,tight,CAFI,20,22,22,16,64,4054.748918,,23,22,14,67,3709.17,100,,-345.5751919,y
FE-POC18,1,13,tight,empty,17,14,13,10,43,952.9497716,,16,14,10,45,1172.86,100,,219.9114858,y
FE-POC56,1,14,tight,CAFI,35,31,29,23,97,10826.45188,,34,29,19,101,9809.1,95,,-1017.352421,y
FE-POC46,1,15,wide,CAFI,26,27,22,17,76,5287.300436,,30,23,16,77,5780.53,100,,493.2300466,y
FE-POC05,2,1,tight,CAFI,11,10,10,6,29,314.1592654,,11,10,7,29,403.17,100,,89.01179185,y
FE-POC22,2,2,wide,empty,14,18,17,11,48,1762.433479,,18,16,11,51,1658.76,100,,-103.6725576,y
FE-POC20,2,3,wide,CAFI,41,47,37,27,126,24584.53331,,46,41,34,136,33575.25,90,"tipped, 5% in sand",8990.714576,n
FE-POC52,2,4,wide,CAFI,11,11,12,8,36,552.920307,,14,12,9,34,791.68,100,,238.7610417,y
FE-POC35,2,5,tight,CAFI,17,15,12,11,42,1036.725576,,15,12,11,41,1036.73,100,,0,y
FE-POC54,2,6,tight,CAFI,26,25,24,20,72,6283.185307,,28,25,14,69,5131.27,95,looks unhelathy,-1151.917306,y
FE-POC42,2,7,wide,empty,26,27,24,20,78,6785.840132,affixed on side,29,24,19,74,6924.07,95,,138.2300768,y
FE-POC16,2,8,tight,empty,20,23,20,15,64,3612.831552,,24,19,12,66,2865.13,100,,-747.6990516,y
FE-POC07,2,9,wide,CAFI,47,50,37,23,133,22279.1279,2nd colony on base,47,45,31,138,34329.75,85,"tipped, 5% in sand",12050.62582,n
FE-POC59,2,10,tight,empty,44,42,37,30,126,24410.17492,,40,35,33,126,24190.26,75,"tipped, 15% in sand",-219.9114858,n
FE-POC17,2,11,tight,CAFI,44,47,33,29,119,23550.94933,,42,27,29,125,17219.07,100,"tipped, 20% in sand, 100% alive where visible",-6331.879993,n
FE-POC11,2,12,wide,empty,17,19,16,14,53,2228.436389,,20,14,12,40,1759.29,90,,-469.1445029,y
FE-POC40,2,13,tight,empty,11,12,12,8,36,603.1857895,,13,11,8,39,599,100,,-4.188790205,y
FE-POC33,2,14,tight,empty,29,29,25,24,81,9110.618695,,30,27,15,82,6361.73,95,,-2748.893572,y
FE-POC51,2,15,tight,CAFI,8,9,9,5,28,212.0575041,,11,9,6,30,311.02,100,,98.96016859,y
FE-POC27,3,1,wide,empty,11,11,10,9,33,518.3627878,,12,10,10,32,628.32,100,,109.9557429,y
FE-POC21,3,2,wide,CAFI,17,15,10,10,38,785.3981634,,16,11,12,42,1105.84,100,,320.4424507,y
FE-POC02,3,3,wide,empty,5,7,7,9,21,230.90706,,8,6,9,25,226.19,100,,-4.71238898,y
FE-POC45,3,4,tight,empty,35,32,25,17,88,7120.943348,,32,23,19,91,7322.01,95,,201.0619298,y
FE-POC15,3,5,tight,CAFI,23,23,22,15,68,3974.114707,,24,19,20,70,4775.22,90,,801.1061267,y
FE-POC08,3,6,tight,CAFI,38,29,25,15,95,5694.136685,,30,23,22,93,7948.23,97,,2254.092729,y
FE-POC41,3,7,wide,empty,47,35,31,28,98,15906.9308,,34,40,28,97,19938.64,75,flipped,4031.710572,n
FE-POC55,3,8,tight,CAFI,29,27,26,16,79,5881.061448,,25,24,18,83,5654.87,95,,-226.1946711,y
FE-POC10,3,9,wide,empty,8,10,7,10,28,366.5191429,,10,8,8,27,335.1,95,,-31.41592654,y
FE-POC58,3,10,tight,CAFI,47,49,35,19,124,17061.4661,,46,31,30,123,22399.56,75,flipped,5338.089517,n
FE-POC47,3,11,tight,empty,38,39,34,21,108,14580.13151,,37,31,20,108,12011.36,99,,-2568.775593,y
FE-POC31,3,12,wide,empty,38,36,28,24,96,12666.90158,"tips were pale at time of measurement, recovered by final survey; affixed using excessive z-spar",37,31,24,98,14413.63,85,flipped,1746.725515,n
FE-POC25,3,13,tight,empty,8,11,9,6,28,311.0176727,,11,8,9,29,414.69,95,,103.6725576,y
FE-POC12,3,14,wide,empty,23,23,19,20,65,4576.253299,"affixed on side, some spots looked ""bad"" at time of measurement, recovered by final survey",25,21,22,73,6047.57,93,,1471.312559,y
FE-POC44,3,15,wide,CAFI,8,10,8,7,25,293.2153143,,10,7,7,25,256.56,100,,-36.65191429,y
FE-POC53,4,1,wide,CAFI,23,23,21,12,65,3034.778503,,24,21,14,72,3694.51,97,,659.7344573,y
FE-POC34,4,2,wide,empty,41,38,34,22,111,14882.7716,,36,35,24,114,15833.63,65,flipped,950.8553765,n
FE-POC49,4,3,wide,CAFI,5,7,5,5,17,91.62978573,,6,6,5,19,94.25,95,,2.617993878,y
FE-POC06,4,4,tight,CAFI,41,35,24,17,94,7476.990516,,37,28,20,99,10848.97,98,,3371.976115,y
FE-POC38,4,5,tight,empty,32,31,25,21,92,8521.570073,z-spar separated some at base,32,28,23,94,10790.32,90,,2268.753495,y
FE-POC32,4,6,wide,CAFI,35,32,30,29,98,14576.98991,,32,30,27,100,13571.68,70,flipped,-1005.309649,n
FE-POC14,4,7,wide,CAFI,32,28,21,20,79,6157.521601,,28,21,21,80,6465.4,75,flipped,307.8760801,n
FE-POC26,4,8,tight,empty,5,7,7,5,21,128.2817,,8,7,7,22,205.25,95,,76.96902001,y
FE-POC60,4,9,wide,empty,29,32,33,19,101,10505.48583,,38,31,21,103,12952.79,80,flipped,2447.300677,n
FE-POC24,4,10,tight,empty,47,47,40,25,122,24609.14245,,44,38,27,124,23637.34,65,flipped,-971.7993275,n
FE-POC03,4,11,tight,empty,14,11,13,10,39,748.7462491,,15,12,12,39,1130.97,99,,382.2271062,y
FE-POC39,4,12,tight,empty,23,22,23,14,71,3709.173726,,24,23,16,72,4624.42,95,,915.2506597,y
FE-POC36,4,13,tight,CAFI,14,13,12,8,40,653.4512719,,14,14,9,42,923.63,100,,270.1769682,y
FE-POC50,4,14,wide,empty,35,35,26,24,95,11435.39726,,33,22,25,88,9503.32,90,flipped,-1932.079482,n
